route_id,route_name
103,Benapole-Dhaka
105,Chapainawabganj-Dhaka
106,Chattogram-Chandpur
107,Chattogram-Dhaka
108,Chattogram-Sylhet
109,Chilahati-Ishwardi
110,Chilahati-Khulna
111,Chilahati-Rajshahi
113,Chuadanga-Khulna
114,Chuadanga-Saidpur
115,Dewanganj-Dhaka
116,Dhaka-Benapole
117,Dhaka-Chapainawabganj
118,Dhaka-Chattogram
119,Dhaka-Dewanganj
120,Dhaka-Dinajpur
121,Dhaka-Ishwardi
123,Dhaka-Kishoreganj
125,Dhaka-Laksam
126,Dhaka-Lalmonirhat
127,Dhaka-Mohangonj
128,Dhaka-Noakhali
129,Dhaka-Panchagarh
130,Dhaka-Rajshahi
131,Dhaka-Rangpur
132,Dhaka-Sirajgonj
133,Dhaka-Sylhet
134,Dhaka-Tarakandi
135,Dhaka-Tungipara
136,Dinajpur-Dhaka
137,Dinajpur-Santahar
138,Ishwardi-Chilahati
139,Ishwardi-Dhaka
140,Ishwardi-Rajshahi
141,Jamalpur-Dhaka
142,Khulna-Chilahati
143,Kishoreganj-Dhaka
145,Laksam-Dhaka
146,Lalmonirhat-Dhaka
147,Mohangonj-Dhaka
148,Noakhali-Dhaka
149,Panchagarh-Dhaka
150,Rajshahi-Chilahati
151,Rajshahi-Dhaka
152,Rajshahi-Ishwardi
153,Rangpur-Dhaka
154,Santahar-Dinajpur
155,Sirajgonj-Dhaka
157,Sylhet-Dhaka
158,Tarakandi-Dhaka
159,Tungipara-Dhaka
160,Dhaka-Tangail
161,Chandpur-Dhaka