Train_Code,Train_Name,Off_Day,route_id,route_name
701,Subarna Express,Friday,107,Chattogram-Dhaka
702,Subarna Express,Friday,118,Dhaka-Chattogram
703,Mohanagar Godhuli,No,107,Chattogram-Dhaka
704,Mohanagar Provati,No,118,Dhaka-Chattogram
705,Ekota Express,Tuesday,120,Dhaka-Dinajpur
706,Ekota Express,Monday,136,Dinajpur-Dhaka
707,Tista Express,Monday,119,Dhaka-Dewangonj
708,Tista Express,Monday,115,Dewangonj-Dhaka
709,Parabat Express,Tuesday,133,Dhaka-Sylhet
710,Parabat Express,Tuesday,157,Sylhet-Dhaka
711,Upokul Express,Wednesday,148,Noakhali-Dhaka
712,Upokul Express,Tuesday,128,Dhaka-Noakhali
717,Joyantika Express,No,133,Dhaka-Sylhet
718,Joyantika Express,Thursday,157,Sylhet-Dhaka
719,Paharika Express,Monday,108,Chattogram-Sylhet
721,Mohanagar Provati,Sunday,107,Chattogram-Dhaka
722,Mohanagar Godhuli,Sunday,118,Dhaka-Chattogram
723,Udayan Express,Sunday,108,Chattogram-Sylhet
726,Sundarban Express,Wednesday,113,Chuadanga-Khulna
727,Rupsha Express,Thursday,114,Chuadanga-Saidpur
728,Rupsha Express,Thursday,113,Chuadanga-Khulna
729,Meghna Express,No,106,Chattogram-Chandpur
731,Barendra Express,Sunday,150,Rajshahi-Chilahati
732,Barendra Express,Sunday,111,Chilahati-Rajshahi
733,Titumir Express,Wednesday,150,Rajshahi-Chilahati
734,Titumir Express,Wednesday,111,Chilahati-Rajshahi
735,Agnibina Express,No,134,Dhaka-Tarakandi
736,Agnibina Express,No,158,Tarakandi-Dhaka
737,Egarosindhur Provati,Wednesday,123,Dhaka-Kishoreganj
738,Egarosindhur Provati,No,143,Kishoreganj-Dhaka
739,Upaban Express,Wednesday,133,Dhaka-Sylhet
740,Upaban Express,No,157,Sylhet-Dhaka
741,Turna Express,No,107,Chattogram-Dhaka
742,Turna Express,No,118,Dhaka-Chattogram
743,Brahmaputra Express,No,119,Dhaka-Dewangonj
744,Brahmaputra Express,No,115,Dewangonj-Dhaka
745,Jamuna Express,No,134,Dhaka-Tarakandi
746,Jamuna Express,No,158,Tarakandi-Dhaka
747,Simanta Express,No,142,Khulna-Chilahati
748,Simanta Express,No,110,Chilahati-Khulna
749,Egarosindhur Godhuli,No,123,Dhaka-Kishoreganj
750,Egarosindhur Godhuli,Wednesday,143,Kishoreganj-Dhaka
751,Lalmoni Express,Friday,126,Dhaka-Lalmonirhat
752,Lalmoni Express,Friday,146,Lalmonirhat-Dhaka
753,Silkcity Express,Sunday,130,Dhaka-Rajshahi
754,Silkcity Express,Sunday,151,Rajshahi-Dhaka
755,Madhumati Express,Thursday,140,Ishwardy-Rajshahi
756,Madhumati Express,Thursday,152,Rajshahi-Ishwardy
757,Drutojan Express,No,120,Dhaka-Dinajpur
758,Drutojan Express,No,136,Dinajpur-Dhaka
759,Padma Express,Tuesday,130,Dhaka-Rajshahi
760,Padma Express,Tuesday,151,Rajshahi-Dhaka
761,Sagardari Express,Monday,140,Ishwardy-Rajshahi
762,Sagardari Express,Monday,152,Rajshahi-Ishwardy
763,Chitra Express,Monday,139,Ishwardy-Dhaka
764,Chitra Express,Monday,121,Dhaka-Ishwardy
765,Nilsagar Express,Monday,138,Ishwardy-Chilahati
766,Nilsagar Express,Sunday,109,Chilahati-Ishwardy
767,Dolonchapa Express,No,154,Santahar-Dinajpur
768,Dolonchapa Express,No,137,Dinajpur-Santahar
769,Dhumketu Express,Sunday,130,Dhaka-Rajshahi
770,Dhumketu Express,Friday,151,Rajshahi-Dhaka
771,Rangpur Express,Sunday,131,Dhaka-Rangpur
772,Rangpur Express,Sunday,153,Rangpur-Dhaka
773,Kalni Express,Friday,133,Dhaka-Sylhet
774,Kalni Express,Friday,157,Sylhet-Dhaka
775,Sirajgonj Express,Saturday,132,Dhaka-Sirajgonj
776,Sirajgonj Express,Saturday,155,Sirajgonj-Dhaka
777,Haor Express,Wednesday,127,Dhaka-Mohangonj
778,Haor Express,Wednesday,147,Mohangonj-Dhaka
779,Dhalarchar Express,No,125,Dhaka-Laksam
780,Dhalarchar Express,No,145,Laksam-Dhaka
781,Kishoreganj Express,Friday,123,Dhaka-Kishoreganj
782,Kishoreganj Express,Friday,143,Kishoreganj-Dhaka
783,Tungipara Express,No,135,Dhaka-Tungipara
784,Tungipara Express,No,159,Tungipara-Dhaka
785,Bijoy Express,No,118,Dhaka-Chattogram
786,Bijoy Express,No,107,Chattogram-Dhaka
787,Shonar Bangla Express,Wednesday,118,Dhaka-Chattogram
788,Shonar Bangla Express,Wednesday,107,Chattogram-Dhaka
789,Mohangonj Express,Monday,127,Dhaka-Mohangonj
790,Mohangonj Express,Monday,147,Mohangonj-Dhaka
791,Banalata Express,Friday,105,Chapainawabganj-Dhaka
792,Banalata Express,Friday,117,Dhaka-Chapainawabganj
793,Panchagarh Express,None,129,Dhaka-Panchagarh
794,Panchagarh Express,None,149,Panchagarh-Dhaka
795,Benapole Express,None,116,Dhaka-Benapole
796,Benapole Express,None,103,Benapole-Dhaka
800,Jamalpur Express,None,141,Jamalpur-Dhaka